Sr,name,Title,Link
,,,
1.0,Base 44,Task management flow,https://task-flow-ae76d02e.base44.app/
2.0,Base 44,Interactive Floating Sidebar UI,https://champions-hub-6b565f70.base44.app/
3.0,Base 44,Tuesday.com,https://tuesdaycom-a6700714.base44.app/login?from_url=https://tuesdaycom-a6700714.base44.app/&app_id=683fe3f0cd50c5dca6700714
4.0,Base 44,Digital Asset Trading Interface,https://crypto-vault-92ae005c.base44.app/
5.0,Base 44,CryptoPulse AI,https://crypto-pulse-ai-20f00aca.base44.app/
6.0,Base 44,AccuPro,https://accu-pro-3d5570b2.base44.app/login?from_url=https://accu-pro-3d5570b2.base44.app/&app_id=68a42ea0e36bc80b3d5570b2
7.0,Base 44,Moda Studio,https://moda-studio-a6695d6f.base44.app/
8.0,Base 44,CODE GEN AI,https://web-craft-ai-00deb66e.base44.app/
9.0,Base 44,Dark glassmorphic interface,https://career-path-ai-a23b9a04.base44.app/
10.0,Base 44,Interactive Globe,https://orbital-4aa2db87.base44.app/
11.0,Base 44,CodeMaster,https://code-master-601a587e.base44.app/login?from_url=https://code-master-601a587e.base44.app/&app_id=689243fcfd14cf0f601a587e
12.0,Base 44,SETH,https://seth-7abf4d54.base44.app/
13.0,Base 44,Financial Education Academy,https://crypto-learn-academy-7b6a5dda.base44.app/
14.0,Base 44,StudyBuddy,https://study-buddy-bdaf6ec8.base44.app/
15.0,Base 44,Serenity- Spa & Salon,https://serenity-788ca716.base44.app/
16.0,Base 44,CompanyHub,https://company-hub-7bfb1fd2.base44.app/login?from_url=https://company-hub-7bfb1fd2.base44.app/&app_id=6892bdd95c8bf96c7bfb1fd2
17.0,Base 44,Star AI,https://star-ai-92adaf05.base44.app/login?from_url=https://star-ai-92adaf05.base44.app/&app_id=6892328263b0c52692adaf05
18.0,Base 44,Burger Builder,https://burger-builder-fcb965ac.base44.app/
19.0,Base 44,ClayMath Solver,https://clay-math-solver-54bc577a.base44.app/
20.0,Base 44,FormForge,https://form-forge-5751d9f5.base44.app/
