id,application_id,repo_id,node_id,full_name,private,owner_login,owner_id,owner_type,html_url,git_url,clone_url,ssh_url,default_branch,language,size_kb,stargazers_count,watchers_count,forks_count,open_issues_count,has_issues,has_projects,has_wiki,has_pages,archived,disabled,pushed_at,created_at,updated_at
1,1,295375538,MDEwOlJlcG9zaXRvcnkyOTUzNzU1Mzg=,daangn/stackflow,0,daangn,12152522,Organization,https://github.com/daangn/stackflow,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
2,2,236324177,MDEwOlJlcG9zaXRvcnkyMzYzMjQxNzc=,arnarg/config,0,arnarg,1291396,User,https://github.com/arnarg/config,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
3,3,913540439,R_kgDONnOFVw,hotovo/aider-desk,0,hotovo,2045570,Organization,https://github.com/hotovo/aider-desk,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
4,4,546611239,R_kgDOIJSgJw,Chaoses-Ib/ArtificialIntelligence,0,Chaoses-Ib,50246090,User,https://github.com/Chaoses-Ib/ArtificialIntelligence,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
5,5,995186407,R_kgDOO1FW5w,marcusglee11/deal-ai,0,marcusglee11,200859841,User,https://github.com/marcusglee11/deal-ai,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
6,6,1034619043,R_kgDOPasIow,atopile/hivehaus,0,atopile,150975426,Organization,https://github.com/atopile/hivehaus,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
7,7,668493044,R_kgDOJ9hk9A,514-labs/moosestack,0,514-labs,140028474,Organization,https://github.com/514-labs/moosestack,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
8,8,892873522,R_kgDONTgrMg,jeffmo/libgraphql,0,jeffmo,498293,User,https://github.com/jeffmo/libgraphql,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
9,9,1037506200,R_kgDOPdcWmA,dbartley18/Riva,0,dbartley18,12564491,User,https://github.com/dbartley18/Riva,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
10,10,1003933584,R_kgDOO9bPkA,cskcvarma/voice_transcriber,0,cskcvarma,20584631,User,https://github.com/cskcvarma/voice_transcriber,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
11,11,463116412,R_kgDOG5qYfA,seasonedcc/remix-forms,0,seasonedcc,33913103,Organization,https://github.com/seasonedcc/remix-forms,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
12,12,1021580880,R_kgDOPOQWUA,logicmoo/ace_llm_logic,0,logicmoo,7349971,Organization,https://github.com/logicmoo/ace_llm_logic,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
13,13,984230627,R_kgDOOqoq4w,mcmespana/mcmapp,0,mcmespana,182434081,User,https://github.com/mcmespana/mcmapp,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
14,14,1003638491,R_kgDOO9JO2w,andbeder/PurpleFox,0,andbeder,201294752,User,https://github.com/andbeder/PurpleFox,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
15,15,11823487,MDEwOlJlcG9zaXRvcnkxMTgyMzQ4Nw==,fooplugins/foogallery,0,fooplugins,2367948,Organization,https://github.com/fooplugins/foogallery,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
16,16,1022242179,R_kgDOPO4tgw,lwhela12/AI-Screenwriting-Tool,0,lwhela12,162099613,User,https://github.com/lwhela12/AI-Screenwriting-Tool,,,,,,,0,0,0,0,1,1,1,0,0,0,,,
