id,name,description,url,external_id,created_at,updated_at,last_scraped_at,is_active,is_featured,discovery_method,platform_name,platform_url,platform_description
2675,.dotfiles,stow dotfiles,https://github.com/choovick/.dotfiles,,2025-09-18T10:56:43.739125,2025-09-18T10:56:43.739125,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2531,0x34,共和報 VOL.52 © MMXXV | https://agora0.github.io/0x34,https://github.com/agora0/0x34,,2025-09-18T10:56:43.723457,2025-09-18T10:56:43.723458,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2532,0x35,共和報 VOL.53 © MMXXV | https://agora0.github.io/0x35,https://github.com/agora0/0x35,,2025-09-18T10:56:43.723519,2025-09-18T10:56:43.723519,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2533,0x36,共和報 VOL.54 © MMXXV | https://agora0.github.io/0x36,https://github.com/agora0/0x36,,2025-09-18T10:56:43.723625,2025-09-18T10:56:43.723626,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2289,0x4c,0x4c site,https://github.com/flabat/0x4c,,2025-09-18T10:56:43.703784,2025-09-18T10:56:43.703785,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2545,2021_RLKR_Drone_Delivery_Challenge_with_Unity,2021 RL Korea Drone Delivery Challenge with Unity,https://github.com/reinforcement-learning-kr/2021_RLKR_Drone_Delivery_Challenge_with_Unity,,2025-09-18T10:56:43.725592,2025-09-18T10:56:43.725593,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
7,514-labs/moosestack,"The developer framework for building analytical backends on top of ClickHouse, Redpanda and other high-performance analytical infrastructure",https://github.com/514-labs/moosestack,668493044,2025-09-17 23:48:56,2025-09-18 18:03:33,2025-09-17 23:48:56,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2766,5eVaultMain,Vibe-coded application: 5eVaultMain,https://github.com/vikingJason/5eVaultMain,,2025-09-18T10:56:43.749859,2025-09-18T10:56:43.749860,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2290,8f4e,"8f4e is a stack-oriented programming language with a semi-visual live code editor, designed to be an efficient yet portable tool for real-time audio signal generation and processing",https://github.com/andorthehood/8f4e,,2025-09-18T10:56:43.703828,2025-09-18T10:56:43.703828,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2241,AFL-automation,"The automation software that powers the NIST Autonomous Formulation Lab!  A flexible, web-based backend for device integration, drivers for some devices we've found useful, and glue that makes the AFL run.",https://github.com/usnistgov/AFL-automation,,2025-09-18T10:56:43.701521,2025-09-18T10:56:43.701522,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2197,AI-Game-Master,Vibe-coded application: AI-Game-Master,https://github.com/PhantomGM/AI-Game-Master,,2025-09-18T10:56:43.698799,2025-09-18T10:56:43.698800,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2219,AI-prediction-frame-bot,Vibe-coded application: AI-prediction-frame-bot,https://github.com/getFit-EthOnline/AI-prediction-frame-bot,,2025-09-18T10:56:43.700494,2025-09-18T10:56:43.700500,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2311,AI-vs.-Humanity,A collection of games where agents are trained with Reinforcement Learning,https://github.com/aritzLizoain/AI-vs.-Humanity,,2025-09-18T10:56:43.706199,2025-09-18T10:56:43.706200,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2764,AIBlog02,MonoChrome Blog,https://github.com/kliewerdaniel/AIBlog02,,2025-09-18T10:56:43.749612,2025-09-18T10:56:43.749613,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2621,AIE6_Study_Guide,Vibe-coded application: AIE6_Study_Guide,https://github.com/chelleboyer/AIE6_Study_Guide,,2025-09-18T10:56:43.734197,2025-09-18T10:56:43.734197,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2399,API-Based-Agent,Vibe-coded application: API-Based-Agent,https://github.com/yueqis/API-Based-Agent,,2025-09-18T10:56:43.712875,2025-09-18T10:56:43.712876,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2700,AT-Enmity-Cycle,Vibe-coded application: AT-Enmity-Cycle,https://github.com/athawe/AT-Enmity-Cycle,,2025-09-18T10:56:43.742931,2025-09-18T10:56:43.742931,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
59,AaronAbuUsama/claude-codex,,https://github.com/AaronAbuUsama/claude-codex,1006741196,2025-09-17 23:48:56,2025-09-18 18:03:33,2025-09-17 23:48:56,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2593,Agent-NN,NN for LLM Agents,https://github.com/Modularium/Agent-NN,,2025-09-18T10:56:43.730752,2025-09-18T10:56:43.730753,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
